WA00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,Area,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
53,11,40202,53011040202,3658,1361,W,70364909,69907189,53,11,40202,53011040202,3658,1361,W,70364909,69907189,70364909,69907189,100,100,100,100,3658,100,100,1361,100,100
53,11,40203,53011040203,5442,1854,W,61492929,61273935,53,11,40203,53011040203,5442,1854,W,61492929,61273935,61492929,61273935,100,100,100,100,5442,100,100,1854,100,100
53,11,40300,53011040300,7727,2792,P,94396791,86907264,53,11,40301,53011040301,1471,579,W,29244770,28336793,29244770,28336793,30.98,32.61,100,100,1471,19.04,100,579,20.74,100
53,11,40300,53011040300,7727,2792,P,94396791,86907264,53,11,40302,53011040302,6256,2213,W,65152021,58570471,65152021,58570471,69.02,67.39,100,100,6256,80.96,100,2213,79.26,100
53,11,40403,53011040403,3848,1486,W,42893381,42732054,53,11,40403,53011040403,3848,1486,W,42893381,42732054,42893381,42732054,100,100,100,100,3848,100,100,1486,100,100
53,11,40404,53011040404,8041,3393,P,14265005,14265005,53,11,40409,53011040409,1834,734,W,8280669,8280669,8280669,8280669,58.05,58.05,100,100,1834,22.81,100,734,21.63,100
53,11,40404,53011040404,8041,3393,P,14265005,14265005,53,11,40411,53011040411,1874,934,W,2049297,2049297,2049297,2049297,14.37,14.37,100,100,1874,23.31,100,934,27.53,100
53,11,40404,53011040404,8041,3393,P,14265005,14265005,53,11,40412,53011040412,4333,1725,W,3935039,3935039,3935039,3935039,27.59,27.59,100,100,4333,53.89,100,1725,50.84,100
53,11,40405,53011040405,8642,2773,P,19274125,19274125,53,11,40413,53011040413,2707,971,W,6561757,6561757,6561757,6561757,34.04,34.04,100,100,2707,31.32,100,971,35.02,100
53,11,40405,53011040405,8642,2773,P,19274125,19274125,53,11,40414,53011040414,5935,1802,W,12712368,12712368,12712368,12712368,65.96,65.96,100,100,5935,68.68,100,1802,64.98,100
53,11,40406,53011040406,7038,2483,P,23743064,23640195,53,11,40415,53011040415,3839,1354,W,3596132,3596132,3596132,3596132,15.15,15.21,100,100,3839,54.55,100,1354,54.53,100
53,11,40406,53011040406,7038,2483,P,23743064,23640195,53,11,40416,53011040416,3199,1129,W,20146932,20044063,20146932,20044063,84.85,84.79,100,100,3199,45.45,100,1129,45.47,100
53,11,40407,53011040407,5343,1918,W,5736083,5736083,53,11,40407,53011040407,5343,1918,W,5736083,5736083,5736083,5736083,100,100,100,100,5343,100,100,1918,100,100
53,11,40408,53011040408,3454,1187,W,20324561,20318289,53,11,40408,53011040408,3454,1187,W,20324561,20318289,20324561,20318289,100,100,100,100,3454,100,100,1187,100,100
53,11,40504,53011040504,4883,1600,P,194784793,194687852,53,11,40504,53011040504,4883,1600,W,194784674,194687733,194784674,194687733,100,100,100,100,4883,100,100,1600,100,100
53,11,40504,53011040504,4883,1600,P,194784793,194687852,53,11,40511,53011040511,2188,795,P,86178348,86167374,119,119,0,0,0,0,0,0,0,0,0,0
53,11,40505,53011040505,5584,1898,W,39886400,39886400,53,11,40505,53011040505,5584,1898,W,39886400,39886400,39886400,39886400,100,100,100,100,5584,100,100,1898,100,100
53,11,40506,53011040506,7220,2782,P,133726026,133335045,53,11,40510,53011040510,5032,1987,P,47545858,47165851,47543265,47163258,35.55,35.37,99.99,99.99,5032,69.7,100,1987,71.42,100
53,11,40506,53011040506,7220,2782,P,133726026,133335045,53,11,40511,53011040511,2188,795,P,86178348,86167374,86178229,86167255,64.44,64.62,100,100,2188,30.3,100,795,28.58,100
53,11,40506,53011040506,7220,2782,P,133726026,133335045,53,59,950200,53059950200,4264,2008,P,349804316,333755326,4532,4532,0,0,0,0,0,0,0,0,0,0
