X	Y	GEO_ID_GRP	BLKGRP	GRPLABEL_TRIM	TRACT_LBL	TRTLABEL_COMP	TRTLABEL_TRIM	COUNTY	STATE	TRACT_ID	GROUP_AREA	GROUP_PERI
-122.3146326	47.67216994	530330044002	44002	44.0 2	Tract 004400	4400	44	33	53	53033004400	3562272.697	7985.629725
-122.309198	47.66670249	530330044003	44003	44.0 3	Tract 004400	4400	44	33	53	53033004400	1782472.216	5333.144221
-122.3146514	47.66672999	530330044004	44004	44.0 4	Tract 004400	4400	44	33	53	53033004400	1785998.292	5348.226319
-122.3195217	47.66854489	530330045001	45001	45.0 1	Tract 004500	4500	45	33	53	53033004500	2795636.707	7410.81291
-122.3250501	47.6686085	530330045002	45002	45.0 2	Tract 004500	4500	45	33	53	53033004500	4425920.835	9006.509862
-122.341845	47.66840011	530330046001	46001	46.0 1	Tract 004600	4600	46	33	53	53033004600	22637570.82	22182.70796
-122.3322575	47.67001039	530330046002	46002	46.0 2	Tract 004600	4600	46	33	53	53033004600	3282896.577	7715.333142
-122.3326037	47.66636832	530330046003	46003	46.0 3	Tract 004600	4600	46	33	53	53033004600	1908896.95	6109.304651
-122.3698361	47.67012247	530330047001	47001	47.0 1	Tract 004700	4700	47	33	53	53033004700	2933642.301	6853.195337
-122.371779	47.66372908	530330047002	47002	47.0 2	Tract 004700	4700	47	33	53	53033004700	11501378.09	25472.6564
-122.3776186	47.67025668	530330047003	47003	47.0 3	Tract 004700	4700	47	33	53	53033004700	3241332.886	7515.971064
-122.3829662	47.66711554	530330047004	47004	47.0 4	Tract 004700	4700	47	33	53	53033004700	6158885.042	14625.32181
-122.3594898	47.66587666	530330048001	48001	48.0 1	Tract 004800	4800	48	33	53	53033004800	2971309.38	8285.569904
-122.358191	47.65966628	530330048002	48002	48.0 2	Tract 004800	4800	48	33	53	53033004800	3183581.526	7465.306646
-122.3578078	47.65404759	530330048003	48003	48.0 3	Tract 004800	4800	48	33	53	53033004800	5169145.101	13128.70302
-122.3638406	47.66405137	530330048004	48004	48.0 4	Tract 004800	4800	48	33	53	53033004800	3086695.074	8622.384607
-122.3513576	47.66358708	530330049001	49001	49.0 1	Tract 004900	4900	49	33	53	53033004900	2111395.136	6128.893919
-122.3510603	47.6500743	530330049002	49002	49.0 2	Tract 004900	4900	49	33	53	53033004900	3568963.892	13084.47086
-122.3525715	47.65362431	530330049003	49003	49.0 3	Tract 004900	4900	49	33	53	53033004900	1795975.014	5390.087973
-122.3527222	47.65780849	530330049004	49004	49.0 4	Tract 004900	4900	49	33	53	53033004900	2365987.862	6225.005141
-122.3513563	47.66117727	530330049005	49005	49.0 5	Tract 004900	4900	49	33	53	53033004900	2027533.376	7239.275573
-122.3417781	47.66358117	530330050001	50001	50.0 1	Tract 005000	5000	50	33	53	53033005000	3993976.961	9790.554494
-122.341631	47.65791127	530330050002	50002	50.0 2	Tract 005000	5000	50	33	53	53033005000	2281192.443	7285.967838
-122.3441057	47.66055139	530330050003	50003	50.0 3	Tract 005000	5000	50	33	53	53033005000	1876765.967	5870.444257
-122.3323136	47.66266905	530330051001	51001	51.0 1	Tract 005100	5100	51	33	53	53033005100	3450109.527	7475.880485
-122.332149	47.65790717	530330051002	51002	51.0 2	Tract 005100	5100	51	33	53	53033005100	3431881.036	7529.284771
-122.3322862	47.65383818	530330051003	51003	51.0 3	Tract 005100	5100	51	33	53	53033005100	2608149.891	6489.88406
-122.3209727	47.65930484	530330052001	52001	52.0 1	Tract 005200	5200	52	33	53	53033005200	813554.5742	4719.786101
-122.3198756	47.65651136	530330052002	52002	52.0 2	Tract 005200	5200	52	33	53	53033005200	1897652.448	6891.501891
-122.324928	47.65656121	530330052003	52003	52.0 3	Tract 005200	5200	52	33	53	53033005200	3031867.466	10513.36138
-122.3252383	47.66210801	530330052004	52004	52.0 4	Tract 005200	5200	52	33	53	53033005200	3257133.951	7538.288535
-122.3194592	47.66259926	530330052005	52005	52.0 5	Tract 005200	5200	52	33	53	53033005200	1773344.913	6116.571357
-122.3086761	47.66306179	530330053011	53011	53.01 1	Tract 005301	5301	53.01	33	53	53033005301	1399526.48	4758.85069
-122.3141361	47.66309091	530330053012	53012	53.01 2	Tract 005301	5301	53.01	33	53	53033005301	2157892.093	5954.872232
-122.3148567	47.6598069	530330053013	53013	53.01 3	Tract 005301	5301	53.01	33	53	53033005301	1524809.493	4967.230158
-122.3149171	47.65759462	530330053014	53014	53.01 4	Tract 005301	5301	53.01	33	53	53033005301	767432.3838	3921.777339
-122.3152152	47.65590334	530330053021	53021	53.02 1	Tract 005302	5302	53.02	33	53	53033005302	974524.8627	5080.829388
-122.3118413	47.65143383	530330053022	53022	53.02 2	Tract 005302	5302	53.02	33	53	53033005302	7399857.999	13233.16222
-122.3059511	47.65543863	530330053023	53023	53.02 3	Tract 005302	5302	53.02	33	53	53033005302	28139246.82	22022.07514
-122.338441	47.65380854	530330054001	54001	54.0 1	Tract 005400	5400	54	33	53	53033005400	2426556.262	6988.09147
-122.3347212	47.64882754	530330054002	54002	54.0 2	Tract 005400	5400	54	33	53	53033005400	16765619.19	30801.37491
-122.3424917	47.65026696	530330054003	54003	54.0 3	Tract 005400	5400	54	33	53	53033005400	3316883.091	8460.01045
-122.3439543	47.65465228	530330054004	54004	54.0 4	Tract 005400	5400	54	33	53	53033005400	2344529.035	6683.021261
-122.4068397	47.64978673	530330056001	56001	56.0 1	Tract 005600	5600	56	33	53	53033005600	5116339.837	10409.19769
-122.414367	47.64942186	530330056002	56002	56.0 2	Tract 005600	5600	56	33	53	53033005600	11756051.79	18877.03631
-122.4033709	47.63664491	530330056003	56003	56.0 3	Tract 005600	5600	56	33	53	53033005600	17607744.14	28267.02576
-122.4052506	47.64208595	530330056004	56004	56.0 4	Tract 005600	5600	56	33	53	53033005600	4852955.687	10160.90611
-122.3946227	47.63628006	530330056005	56005	56.0 5	Tract 005600	5600	56	33	53	53033005600	5373738.024	11214.34623
-122.4159006	47.66163631	530330057001	57001	57.0 1	Tract 005700	5700	57	33	53	53033005700	48889084.47	38310.81552
-122.39411	47.64828099	530330057002	57002	57.0 2	Tract 005700	5700	57	33	53	53033005700	4198346.666	11275.67777
-122.3971902	47.64280522	530330057003	57003	57.0 3	Tract 005700	5700	57	33	53	53033005700	4643311.96	10111.53178
-122.4002502	47.65044176	530330057004	57004	57.0 4	Tract 005700	5700	57	33	53	53033005700	4348781.186	8589.0223
-122.3996395	47.66268925	530330057005	57005	57.0 5	Tract 005700	5700	57	33	53	53033005700	5708952.814	14446.28188
-122.3995232	47.6567638	530330057006	57006	57.0 6	Tract 005700	5700	57	33	53	53033005700	3732918.184	7821.133908
-122.3850406	47.65093442	530330058011	58011	58.01 1	Tract 005801	5801	58.01	33	53	53033005801	2290033.952	6202.096976
-122.389992	47.65092469	530330058012	58012	58.01 2	Tract 005801	5801	58.01	33	53	53033005801	2277724.273	6223.583181
-122.3912124	47.65535955	530330058013	58013	58.01 3	Tract 005801	5801	58.01	33	53	53033005801	3640815.655	8430.24467
-122.3857998	47.65847768	530330058014	58014	58.01 4	Tract 005801	5801	58.01	33	53	53033005801	14606011.45	22906.14625
-122.3864889	47.64568201	530330058021	58021	58.02 1	Tract 005802	5802	58.02	33	53	53033005802	3953193.608	9384.684694
-122.3754107	47.63749821	530330058022	58022	58.02 2	Tract 005802	5802	58.02	33	53	53033005802	12101455.77	22977.71772
-122.3849673	47.63770241	530330058023	58023	58.02 3	Tract 005802	5802	58.02	33	53	53033005802	29637363.96	36528.13853
-122.3696932	47.65382561	530330059001	59001	59.0 1	Tract 005900	5900	59	33	53	53033005900	6381042.311	15547.89842
-122.3714755	47.64904692	530330059002	59002	59.0 2	Tract 005900	5900	59	33	53	53033005900	3874644.384	8884.063301
-122.3642587	47.64857247	530330059003	59003	59.0 3	Tract 005900	5900	59	33	53	53033005900	2238988.289	6361.868653
-122.3711177	47.64330665	530330059004	59004	59.0 4	Tract 005900	5900	59	33	53	53033005900	3617529.843	10073.93248
-122.3645131	47.64302778	530330059005	59005	59.0 5	Tract 005900	5900	59	33	53	53033005900	4587334.519	9238.819597
-122.3442562	47.64101872	530330060001	60001	60.0 1	Tract 006000	6000	60	33	53	53033006000	3363768.969	9958.378172
-122.3508296	47.64324242	530330060002	60002	60.0 2	Tract 006000	6000	60	33	53	53033006000	4841307.899	9575.718257
-122.3577245	47.64326571	530330060003	60003	60.0 3	Tract 006000	6000	60	33	53	53033006000	4175046.3	8518.430905
