,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
215,215,53033025200,"Census Tract 252, King County, Washington",Renton,6,33,678.0,35.0,5435.0,75109,35,16.1,313200,256,417,752,0.57,2015,,5.700000000000003,-1600.0,HaveGentrified,false,NotCurrentlyGentrifying
216,216,53033025301,"Census Tract 253.01, King County, Washington",Renton,4,53,366.0,39.7,3064.0,77278,65,35.3,416200,0,1602,625,0.69,2015,,-3.500000000000007,-136800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
217,217,53033025302,"Census Tract 253.02, King County, Washington",Renton,22,67,194.0,29.2,3423.0,34471,89,24.9,170700,279,1896,138,0.45,2015,,5.0,-121600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
218,218,53033025400,"Census Tract 254, King County, Washington",Renton,12,49,517.0,21.1,4207.0,47773,71,35.1,231100,188,1574,336,0.4,2015,,8.200000000000003,-77600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
219,219,53033025500,"Census Tract 255, King County, Washington",Renton,6,45,334.0,27.0,3216.0,57246,58,33.8,247100,132,714,399,0.47,2015,,2.299999999999997,20000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
220,220,53033025601,"Census Tract 256.01, King County, Washington",Renton,7,41,407.0,31.4,3370.0,60833,36,27.8,318100,11,469,339,0.43,2015,,4.5,-1000.0,HaveGentrified,false,NotCurrentlyGentrifying
221,221,53033025602,"Census Tract 256.02, King County, Washington",Renton,4,21,688.0,43.4,3673.0,105446,6,25.1,365500,0,11,598,0.53,2015,,12.7,48300.0,HaveGentrified,false,NotCurrentlyGentrifying
222,222,53033025701,"Census Tract 257.01, King County, Washington",Renton,5,49,485.0,34.6,3905.0,47219,65,29.9,213300,237,1793,336,0.56,2015,,3.1999999999999957,-161400.0,EligibleForGentrification,false,NotCurrentlyGentrifying
223,223,53033025702,"Census Tract 257.02, King County, Washington",Renton,3,21,275.0,33.6,2252.0,85758,24,30.7,286000,0,126,546,0.55,2015,,4.0,-79100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
224,224,53033025803,"Census Tract 258.03, King County, Washington",Renton,7,40,453.0,22.3,2654.0,50750,49,54.2,201600,16,862,339,0.39,2015,,6.300000000000004,32000.0,EligibleForGentrification,true,HaveGentrified
