Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330033003,Whittier Heights,Ballard,BG0033003,1694,58448,436719,42.2,877,28.68,79.58,974,69.52,17.35,32.75,7.81,2.06,3.8,686,2010
530330033004,Loyal Heights,Ballard,BG0033004,1178,64871,438776,31.34,834,33.18,80.81,671,77.15,24.89,38.75,7.98,2.19,6.42,683,2010
530330033005,Whittier Heights,Ballard,BG0033005,1065,89680,479839,34.5,877,19.02,84.6,479,51.19,2.3,18.37,7.81,2.39,32.78,682,2010
530330034001,West Woodland,Ballard,BG0034001,1140,92226,549033,37.49,858,7.71,86.58,540,24.36,10.93,4.81,8.84,1.96,40.53,681,2010
530330034002,Whittier Heights,Ballard,BG0034002,1139,102083,529412,45.1,900,9.49,89.2,525,27.13,0,15.81,8.91,1.78,43.49,681,2010
530330034003,West Woodland,Ballard,BG0034003,1023,81863,536111,35.37,877,14.29,85.04,478,29.07,10.25,9.83,8.81,1.98,38.22,681,2010
530330035001,Green Lake,Seattle,BG0035001,1402,94712,589199,41.54,1006,20.95,88.02,685,29.64,4.09,11.39,4.56,2.58,38.46,674,2010
530330035002,Green Lake,Seattle,BG0035002,1335,94551,597500,39.59,856,17.27,87.49,671,48.15,11.18,17.29,4.46,2.46,50.52,674,2010
530330035003,Fremont,Seattle,BG0035003,1199,75926,530822,31.89,825,10.43,85.65,554,53.73,4.87,36.28,4.51,2.75,39.78,671,2010
530330036001,Green Lake,Seattle,BG0036001,1268,53322,398246,51.28,905,12.81,78.94,684,78.95,10.38,56.43,4.8,1.24,53.85,669,2010
530330036002,Green Lake,Seattle,BG0036002,1282,62320,447541,46.68,885,19.58,79.1,847,71.57,12.99,67.89,4.65,1.26,0,667,2010
530330036003,Green Lake,Seattle,BG0036003,1293,121923,584722,44.1,625,17.95,82.37,583,34.52,0,6,4.8,1.25,35.59,665,2010
530330036004,Green Lake,Seattle,BG0036004,1829,65317,494681,47.27,968,27.62,80.21,1247,72.68,11.07,67.2,4.69,1.41,29.95,665,2010
530330038001,Bryant,Seattle,BG0038001,1097,107227,569973,37.79,615,17.43,80.86,547,14.64,3.11,13.16,5.4,1.35,55.49,664,2010
530330038002,Ravenna,Seattle,BG0038002,961,94104,547316,31.38,672,17.06,78.36,405,15.78,0,13.33,5.09,1.27,56.83,662,2010
530330039001,Bryant,Seattle,BG0039001,1677,62708,457203,22.38,727,9.88,75.13,753,26.04,2.66,18.46,10.31,3.62,36.3,661,2010
530330039002,Windermere,Seattle,BG0039002,1095,124444,578323,31.04,1468,4.19,80.09,438,26.74,0,0,10.47,3.26,53.94,660,2010
530330040001,Windermere,Seattle,BG0040001,1701,74557,371635,25.11,866,17.66,72.19,991,26.43,5.05,54.09,7.73,0,30.39,659,2010
530330040002,Windermere,Seattle,BG0040002,989,145640,799618,29.94,1425,14.91,83.22,349,10.39,0,0,7.72,0,47.06,658,2010
530330041001,Windermere,Seattle,BG0041001,1442,46453,652778,40.17,988,35.69,71.01,694,71.02,2.16,49.71,12.44,4.25,38.87,658,2010
530330041002,Laurelhurst,Seattle,BG0041002,1666,163253,826786,42.39,953,5.25,83.55,688,7.7,0,4.8,12.42,4.09,34.49,657,2010
530330041003,Laurelhurst,Seattle,BG0041003,1461,211949,1000000,50.94,982,13.01,89.25,512,7.83,0,0,12.45,4.02,48.49,653,2010
530330041004,Laurelhurst,Seattle,BG0041004,1219,87250,501877,50.24,1332,18.43,82.77,618,54.19,24.92,10.84,12.48,4.09,76.44,650,2010
530330041005,Laurelhurst,Seattle,BG0041005,1120,72794,843447,35.92,823,10.14,75.71,438,41.39,0,26.71,12.44,4.07,42.62,650,2010
