Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0026004, King County, WA",979,114183,499083,34.4353,1057,15.6006,79.9796,412,11.9593,9.9515,0.7282,6.8702,2.0356,47.7273,736,2010,,,,,,,,,,
"BG0027001, King County, WA",1426,83367,441353,39.8887,1102,27.6119,83.871,635,36.8249,0,28.8189,9.1653,3.6007,15.6051,736,2010,,,,,,,,,,
"BG0027002, King County, WA",1340,113315,524784,43.3071,1193,14.4457,82.5373,576,10.5751,0.8681,0,8.7199,3.7106,40.367,735,2010,,,,,,,,,,
"BG0027003, King County, WA",1084,79583,646000,29.7568,1192,20.323,81.9188,521,42.6778,9.405,26.2956,8.7866,3.7657,35.7143,730,2010,,,,,,,,,,
"BG0027004, King County, WA",1439,97601,541244,37.5906,1292,9.1476,81.3065,676,27.027,7.1006,15.2367,8.5851,3.6566,27.8997,730,2010,,,,,,,,,,
"BG0028001, King County, WA",1189,74277,474000,44.8017,1047,16.4034,84.8612,563,29.6501,2.3091,12.7886,14.5488,1.105,45.2675,727,2010,,,,,,,,,,
"BG0028002, King County, WA",896,70486,487662,42.7978,975,16.0883,83.4821,457,27.0396,1.7506,11.1597,14.6853,1.1655,48.6911,726,2010,,,,,,,,,,
"BG0028003, King County, WA",985,85307,462037,46.4891,1154,31.2955,83.0457,551,59.9613,5.4447,37.7495,14.5068,1.5474,9.0278,722,2010,,,,,,,,,,
"BG0028004, King County, WA",1411,91168,436555,51.7992,1286,18.2773,77.5337,658,40.32,4.7113,17.0213,14.56,1.12,36.2069,719,2010,,,,,,,,,,
"BG0029001, King County, WA",1393,78875,442750,27.1517,649,13.7856,83.4889,650,31.664,1.0769,32.4615,8.0775,2.9079,27.8317,718,2010,,,,,,,,,,
"BG0029002, King County, WA",1416,114224,533154,40.1146,1367,7.7878,87.9943,645,15.84,0,1.7054,8,3.04,58.8391,718,2010,,,,,,,,,,
"BG0029003, King County, WA",1368,102539,450282,40.3738,1156,18.5993,84.3567,628,28.2137,0.6369,17.6751,8.1803,3.172,42.4332,715,2010,,,,,,,,,,
"BG0030001, King County, WA",1604,93932,448519,47.1937,1129,12.4283,85.6609,710,16.1383,2.1127,0,10.5187,0.8646,39.3407,714,2010,,,,,,,,,,
"BG0030002, King County, WA",1332,79974,438835,31.7943,1270,13.3735,83.1832,594,32.049,5.5556,6.3974,10.1576,1.0508,40.5405,713,2010,,,,,,,,,,
"BG0030003, King County, WA",1407,81926,467296,36.7748,912,16.6482,86.6382,624,33.5559,7.5321,11.5384,10.3506,0.8347,36.1775,712,2010,,,,,,,,,,
"BG0030004, King County, WA",1294,88542,465847,40.0203,1092,10.2596,83.3848,574,21.7311,3.1359,4.878,10.4972,0.9208,56.9182,711,2010,,,,,,,,,,
"BG0031001, King County, WA",1149,68134,446667,44.0433,449,9.5745,87.2063,492,13.5699,0,17.6829,17.9541,5.428,29.9694,711,2010,,,,,,,,,,
"BG0031002, King County, WA",1110,91021,471212,55.3653,967,13.9241,89.0991,515,12.8257,0,4.466,18.0361,5.4108,35.8362,706,2010,,,,,,,,,,
